"ID"	"Name Goods"	"Uri Goods"	"Created At"	"Name"	"Name"
"1720"	"Подогреваемая поверхность GEMLUX GL-WP250"	"http://gemlux.ru/catalog/household-appliances/cooking/induction-cooktop/podogrevaemaya_poverkhnost_gemlux_gl_wp250/"	"2018-03-06 14:27:25"	"Gemlux kush "	"Плиты индукционные"
"1721"	"Плита индукционная GEMLUX GL-IP25D"	"http://gemlux.ru/catalog/household-appliances/cooking/induction-cooktop/plita_gemlux_gl_ip25d/"	"2018-03-06 14:27:25"	"Gemlux kush "	"Плиты индукционные"
"1722"	"Плита индукционная GEMLUX GL-IP-22L"	"http://gemlux.ru/catalog/household-appliances/cooking/induction-cooktop/plita_gemlux_gl_ip_22l/"	"2018-03-06 14:27:25"	"Gemlux kush "	"Плиты индукционные"
"1723"	"Плита индукционная GEMLUX GL-IP22E"	"http://gemlux.ru/catalog/household-appliances/cooking/induction-cooktop/plita_gemlux_gl_ip22e/"	"2018-03-06 14:27:26"	"Gemlux kush "	"Плиты индукционные"
"1724"	"Плита индукционная GEMLUX GL-CIC35D2"	"http://gemlux.ru/catalog/household-appliances/cooking/induction-cooktop/plita_gemlux_gl_cic35d2/"	"2018-03-06 14:27:26"	"Gemlux kush "	"Плиты индукционные"
"1725"	"Плита индукционная GEMLUX GL-CIC35"	"http://gemlux.ru/catalog/household-appliances/cooking/induction-cooktop/plita_gemlux_gl_cic35/"	"2018-03-06 14:27:26"	"Gemlux kush "	"Плиты индукционные"
"1726"	"Плита индукционная GEMLUX GL-CIC27"	"http://gemlux.ru/catalog/household-appliances/cooking/induction-cooktop/plita_gemlux_gl_cic27/"	"2018-03-06 14:27:26"	"Gemlux kush "	"Плиты индукционные"
"1727"	"Плита индукционная GEMLUX GL-IP20A"	"http://gemlux.ru/catalog/household-appliances/cooking/induction-cooktop/plita_induktsionnaya_gemlux_gl_ip20a/"	"2018-03-06 14:27:26"	"Gemlux kush "	"Плиты индукционные"
"1728"	"Плита индукционная GEMLUX GL-IP991LUX"	"http://gemlux.ru/catalog/household-appliances/cooking/induction-cooktop/plita_induktsionnaya_gemlux_gl_ip991lux/"	"2018-03-06 14:27:26"	"Gemlux kush "	"Плиты индукционные"
"1729"	"Плита индукционная GEMLUX GL-IP99LUX"	"http://gemlux.ru/catalog/household-appliances/cooking/induction-cooktop/plita_induktsionnaya_gemlux_gl_ip99lux/"	"2018-03-06 14:27:26"	"Gemlux kush "	"Плиты индукционные"
"1730"	"Планетарный миксер GEMLUX GL-SM5G"	"http://gemlux.ru/catalog/household-appliances/cooking/planetary-mixers/planetarnyy_mikser_gemlux_gl_sm5g/"	"2018-03-06 14:27:27"	"Gemlux kush "	"http://gemlux.ru/catalog/household-appliances/cooking/planetary-mixers/"
"1731"	"Планетарный миксер GEMLUX GL-SM5R"	"http://gemlux.ru/catalog/household-appliances/cooking/planetary-mixers/planetarnyy_mikser_gemlux_gl_sm5r/"	"2018-03-06 14:27:27"	"Gemlux kush "	"http://gemlux.ru/catalog/household-appliances/cooking/planetary-mixers/"
"1732"	"Планетарный миксер GEMLUX GL-SM5CR"	"http://gemlux.ru/catalog/household-appliances/cooking/planetary-mixers/planetarnyy_mikser_gemlux_gl_sm5cr/"	"2018-03-06 14:27:27"	"Gemlux kush "	"http://gemlux.ru/catalog/household-appliances/cooking/planetary-mixers/"
"1733"	"Планетарный миксер GEMLUX GL-SM5W"	"http://gemlux.ru/catalog/household-appliances/cooking/planetary-mixers/planetarnyy_mikser_gemlux_gl_sm5w/"	"2018-03-06 14:27:27"	"Gemlux kush "	"http://gemlux.ru/catalog/household-appliances/cooking/planetary-mixers/"
"1734"	"Планетарный миксер GEMLUX GL-SM5B"	"http://gemlux.ru/catalog/household-appliances/cooking/planetary-mixers/planetarnyy_mikser_gemlux_gl_sm5b/"	"2018-03-06 14:27:27"	"Gemlux kush "	"http://gemlux.ru/catalog/household-appliances/cooking/planetary-mixers/"
"1735"	"Планетарный миксер GEMLUX GL-SMPH5G"	"http://gemlux.ru/catalog/household-appliances/cooking/planetary-mixers/planetarnyy_mikser_gemlux_gl_smph5g/"	"2018-03-06 14:27:27"	"Gemlux kush "	"http://gemlux.ru/catalog/household-appliances/cooking/planetary-mixers/"
"1736"	"Планетарный миксер GEMLUX GL-SMPH5R"	"http://gemlux.ru/catalog/household-appliances/cooking/planetary-mixers/planetarnyy_mikser_gemlux_gl_smph5r/"	"2018-03-06 14:27:27"	"Gemlux kush "	"http://gemlux.ru/catalog/household-appliances/cooking/planetary-mixers/"
"1737"	"Планетарный миксер GEMLUX GL-SMPH5CR"	"http://gemlux.ru/catalog/household-appliances/cooking/planetary-mixers/planetarnyy_mikser_gemlux_gl_smph5cr/"	"2018-03-06 14:27:27"	"Gemlux kush "	"http://gemlux.ru/catalog/household-appliances/cooking/planetary-mixers/"
"1738"	"Планетарный миксер GEMLUX GL-SM10GR"	"http://gemlux.ru/catalog/household-appliances/cooking/planetary-mixers/planetarnyy_mikser_gemlux_gl_sm10gr/"	"2018-03-06 14:27:27"	"Gemlux kush "	"http://gemlux.ru/catalog/household-appliances/cooking/planetary-mixers/"
"1739"	"Планетарный миксер GEMLUX GL- SMPH10GR"	"http://gemlux.ru/catalog/household-appliances/cooking/planetary-mixers/planetarnyy_mikser_gemlux_gl_smph10gr/"	"2018-03-06 14:27:27"	"Gemlux kush "	"http://gemlux.ru/catalog/household-appliances/cooking/planetary-mixers/"
"1740"	"Пароварка GEMLUX GL-FS3LD"	"http://gemlux.ru/catalog/household-appliances/cooking/steamers/parovarka_gemlux_gl_fs3ld/"	"2018-03-06 14:27:29"	"Gemlux kush "	"Пароварки"
"1741"	"Аппарат для спиральной нарезки овощей GEMLUX GL-SR-1003"	"http://gemlux.ru/catalog/household-appliances/cooking/vegetable-cutter/apparat_dlya_spiralnoy_narezki_ovoshchey_gemlux_gl_sr_1003/"	"2018-03-06 14:27:31"	"Gemlux kush "	"Овощерезательные машины / Спирализаторы"
"1742"	"Мясорубка GEMLUX GL-MG400B"	"http://gemlux.ru/catalog/household-appliances/cooking/mincers/myasorubka_gemlux_gl_mg400b/"	"2018-03-06 14:27:33"	"Gemlux kush "	"Мясорубки"
"1743"	"Мультиварка GEMLUX GL-MC-L5"	"http://gemlux.ru/catalog/household-appliances/cooking/multi-cookers/multivarka_gemlux_gl_mc_l5/"	"2018-03-06 14:27:35"	"Gemlux kush "	"Мультиварки"
